flux-high.nu_e
1.000	131.2	124.3	116.7	109.0	101.3	94.0	87.2	81.0	75.6	70.9
1.259	150.9	140.8	130.5	120.4	110.7	101.7	93.6	86.4	80.2	74.9
1.585	166.3	154.8	142.2	129.5	117.2	105.9	95.9	87.4	80.4	75.0
1.995	179.2	165.4	150.1	134.7	120.1	106.9	95.5	86.0	78.6	73.1
2.512	192.5	172.0	152.6	134.9	119.1	105.5	94.0	84.6	77.1	71.3
3.162	205.4	176.7	152.7	132.7	116.2	102.5	91.2	81.9	74.4	68.4
3.981	216.8	181.7	153.6	131.1	113.0	98.4	86.6	77.1	69.4	63.2
5.012	226.2	186.9	155.3	129.9	109.7	93.5	80.7	70.5	62.5	56.3
6.310	233.6	190.4	155.5	127.5	105.3	87.8	74.2	63.7	55.6	49.7
7.943	239.0	190.2	151.9	122.1	99.1	81.4	67.9	57.6	50.0	44.3
10.00	242.3	186.2	144.9	114.2	91.5	74.5	61.8	52.3	45.3	40.1
12.59	243.5	178.8	134.8	104.3	82.8	67.3	55.9	47.6	41.4	36.8
15.85	242.5	168.3	122.5	93.0	73.4	59.9	50.4	43.4	38.2	34.1
19.95	239.1	156.4	109.8	82.0	64.6	53.1	45.3	39.7	35.4	31.8
25.12	233.3	144.7	98.4	72.4	56.9	47.2	40.8	36.2	32.7	29.5
31.62	225.2	133.1	88.0	63.9	50.2	42.0	36.7	33.0	30.1	27.3
39.81	215.2	121.9	78.6	56.5	44.4	37.4	33.1	30.1	27.6	25.1
50.12	203.6	111.2	70.2	50.1	39.5	33.5	29.9	27.5	25.3	22.9
63.10	190.7	100.9	62.7	44.5	35.1	30.0	27.1	25.0	23.1	20.7
79.43	176.8	91.3	56.0	39.6	31.4	27.0	24.5	22.8	21.0	18.7
100.0	162.3	82.2	50.0	35.3	28.1	24.3	22.2	20.7	19.0	16.7
125.9	147.4	73.6	44.6	31.5	25.2	22.0	20.2	18.8	17.2	14.9
158.5	132.6	65.7	39.7	28.2	22.7	19.9	18.3	17.1	15.5	13.1
199.5	118.1	58.4	35.4	25.3	20.5	18.1	16.7	15.5	13.9	11.5
251.2	104.1	51.7	31.6	22.8	18.6	16.5	15.2	14.0	12.4	10.0
316.2	90.9	45.5	28.1	20.5	16.9	15.1	13.9	12.7	11.0	8.7
398.1	78.5	39.9	25.0	18.5	15.4	13.8	12.7	11.5	9.8		7.5
501.2	67.1	34.9	22.3	16.7	14.1	12.7	11.6	10.4	8.7		6.4
631.0	56.8	30.3	19.8	15.1	12.9	11.6	10.6	9.4		7.6		5.4
794.3	47.6	26.2	17.6	13.7	11.8	10.7	9.8		8.5		6.7		4.6
1000.	39.5	22.6	15.7	12.5	10.9	9.9		9.0		7.7		5.9		3.8
flux-high.nu_e_bar
1.000	109.2	103.1		96.5		89.8	83.2	77.0	71.1	65.9	61.3	57.3
1.259	126.1	117.3	108.3		99.6	91.4	83.7	76.8	70.7	65.4	61.0
1.585	139.2	129.2	118.4	107.5	97.1	87.5	79.1	71.9	66.1	61.5
1.995	149.9	138.1	125.1	112.0	99.7	88.7	79.1	71.2	65.0	60.5
2.512	160.7	143.4	127.1	112.2	99.1	87.8	78.3	70.5	64.3	59.6
3.162	170.7	146.7	126.8	110.3	96.7	85.4	76.2	68.7	62.6	57.8
3.981	179.2	150.2	127.2	108.8	94.1	82.2	72.7	65.0	58.8	53.9
5.012	186.0	154.0	128.3	107.8	91.3	78.2	67.9	59.7	53.3	48.3
6.310	191.2	156.4	128.2	105.7	87.7	73.6	62.5	54.0	47.5	42.7
7.943	194.8	155.8	125.1	101.2	82.6	68.3	57.3	48.9	42.7	38.2
10.00	196.8	152.3	119.2		94.6	76.2	62.5	52.1	44.4	38.6	34.4
12.59	197.1	146.0	111.0		86.5	69.0	56.4	47.2	40.3	35.2	31.3
15.85	195.8	137.3	100.8		77.1	61.3	50.3	42.4	36.6	32.2	28.8
19.95	192.6	127.6		90.4		68.1	53.9	44.5	38.0	33.3	29.6	26.5
25.12	187.6	118.0		81.1		60.1	47.5	39.5	34.1	30.2	27.0	24.2
31.62	180.9	108.6		72.6		53.2	42.0	35.1	30.6	27.3	24.6	21.9
39.81	172.6		99.5		65.0		47.1	37.1	31.2	27.4	24.7	22.3	19.7
